t-12,t-11,t-10,t-9,t-8,t-7,t-6,t-5,t-4,t-3,t-2,t-1,t
11.67736626,12.49646091,13.46257877,14.81859779,16.33069611,15.4450388,16.08586311,17.41186523,16.32497787,16.12520409,16.54091644,16.98944283,20.00533104
12.49646091,13.46257877,14.81859779,16.33069611,15.4450388,16.08586311,17.41186523,16.32497787,16.12520409,16.54091644,16.98944283,20.00533104,19.5869503
13.46257877,14.81859779,16.33069611,15.4450388,16.08586311,17.41186523,16.32497787,16.12520409,16.54091644,16.98944283,20.00533104,19.5869503,20.78705215
14.81859779,16.33069611,15.4450388,16.08586311,17.41186523,16.32497787,16.12520409,16.54091644,16.98944283,20.00533104,19.5869503,20.78705215,20.44164085
16.33069611,15.4450388,16.08586311,17.41186523,16.32497787,16.12520409,16.54091644,16.98944283,20.00533104,19.5869503,20.78705215,20.44164085,19.25741577
15.4450388,16.08586311,17.41186523,16.32497787,16.12520409,16.54091644,16.98944283,20.00533104,19.5869503,20.78705215,20.44164085,19.25741577,19.39022064
16.08586311,17.41186523,16.32497787,16.12520409,16.54091644,16.98944283,20.00533104,19.5869503,20.78705215,20.44164085,19.25741577,19.39022064,19.08880615
17.41186523,16.32497787,16.12520409,16.54091644,16.98944283,20.00533104,19.5869503,20.78705215,20.44164085,19.25741577,19.39022064,19.08880615,22.09404755
16.32497787,16.12520409,16.54091644,16.98944283,20.00533104,19.5869503,20.78705215,20.44164085,19.25741577,19.39022064,19.08880615,22.09404755,24.0196209
16.12520409,16.54091644,16.98944283,20.00533104,19.5869503,20.78705215,20.44164085,19.25741577,19.39022064,19.08880615,22.09404755,24.0196209,24.80766106
16.54091644,16.98944283,20.00533104,19.5869503,20.78705215,20.44164085,19.25741577,19.39022064,19.08880615,22.09404755,24.0196209,24.80766106,24.33768845
16.98944283,20.00533104,19.5869503,20.78705215,20.44164085,19.25741577,19.39022064,19.08880615,22.09404755,24.0196209,24.80766106,24.33768845,27.03442574
20.00533104,19.5869503,20.78705215,20.44164085,19.25741577,19.39022064,19.08880615,22.09404755,24.0196209,24.80766106,24.33768845,27.03442574,27.20892525
19.5869503,20.78705215,20.44164085,19.25741577,19.39022064,19.08880615,22.09404755,24.0196209,24.80766106,24.33768845,27.03442574,27.20892525,18.888834
20.78705215,20.44164085,19.25741577,19.39022064,19.08880615,22.09404755,24.0196209,24.80766106,24.33768845,27.03442574,27.20892525,18.888834,15.51583576
20.44164085,19.25741577,19.39022064,19.08880615,22.09404755,24.0196209,24.80766106,24.33768845,27.03442574,27.20892525,18.888834,15.51583576,20.62275696
19.25741577,19.39022064,19.08880615,22.09404755,24.0196209,24.80766106,24.33768845,27.03442574,27.20892525,18.888834,15.51583576,20.62275696,23.02759361
19.39022064,19.08880615,22.09404755,24.0196209,24.80766106,24.33768845,27.03442574,27.20892525,18.888834,15.51583576,20.62275696,23.02759361,25.77277184
19.08880615,22.09404755,24.0196209,24.80766106,24.33768845,27.03442574,27.20892525,18.888834,15.51583576,20.62275696,23.02759361,25.77277184,28.07037926
